Company Name,Product Name,Price,Quantity,Total Value,Date of Sale,Category,Region,Payment Method,Discount,Sales Representative,Sales Channel,Promotion,Product Category,Month of Sale,Revenue
"Fitzgerald, Williams and Smith",News Region,163.12,48,7829.76,2025-02-26,Acessórios,São Paulo,Pix,20,Amy Wise,Telemarketing,Nenhuma,Roupas,2,7829.76
Robles Group,Operation Every,362.55,9,3262.95,2025-02-18,Alimentos,São Paulo,Dinheiro,10,Joseph Scott,Online,Black Friday,Roupas,2,3262.9500000000003
White Ltd,Before Small,94.74,22,2084.28,2025-01-27,Alimentos,Sul,Pix,0,Alicia Morris,Loja Física,Liquidação de Verão,Casa e Decoração,1,2084.2799999999997
Delacruz-Smith,Toward Whose,14.3,2,28.6,2025-01-20,Moda,Nordeste,Boleto,5,Kathleen White,Loja Física,Liquidação de Verão,Saúde e Beleza,1,28.6
Cunningham-Becker,Turn Discover,256.89,15,3853.35,2025-02-12,Eletrônicos,Rio de Janeiro,Boleto,10,James Smith,Loja Física,Promoção de Natal,Casa e Decoração,2,3853.35
Luna-Lane,I Fill,410.38,21,8617.98,2025-01-03,Eletrônicos,Sul,Pix,20,David Howard,Loja Física,Nenhuma,Saúde e Beleza,1,8617.98
"Harris, Gibson and Winters",Morning Source,365.63,88,32175.44,2025-02-10,Acessórios,Nordeste,Pix,20,Julia Williams,Telemarketing,Liquidação de Verão,Saúde e Beleza,2,32175.44
Anderson-Oconnor,Two Yard,440.99,9,3968.91,2025-02-01,Eletrônicos,São Paulo,Dinheiro,0,Martha Molina MD,Telemarketing,Promoção de Natal,Eletrônicos,2,3968.91
Ward LLC,Democrat Week,424.33,75,31824.75,2025-02-17,Acessórios,Sul,Pix,10,Tammy Lopez,Online,Liquidação de Verão,Roupas,2,31824.75
Davis Ltd,Lay Science,340.36,14,4765.04,2025-02-14,Acessórios,Rio de Janeiro,Dinheiro,0,Patricia Hill,Loja Física,Black Friday,Eletrônicos,2,4765.04
"Thomas, Parker and Johnson",Job Available,466.04,13,6058.52,2025-02-10,Moda,Rio de Janeiro,Dinheiro,5,Amanda Koch,Online,Liquidação de Verão,Casa e Decoração,2,6058.52
Riley-Richards,Design Commercial,48.76,50,2438.0,2025-02-15,Moda,Rio de Janeiro,Pix,10,John Morales,Telemarketing,Promoção de Natal,Saúde e Beleza,2,2438.0
"Lane, Baldwin and Cruz",Surface Develop,401.44,99,39742.56,2025-02-09,Acessórios,São Paulo,Cartão de Crédito,10,Mrs. Gabrielle Stanton,Loja Física,Black Friday,Eletrônicos,2,39742.56
Perez and Sons,Different Education,311.38,14,4359.32,2025-01-15,Alimentos,Rio de Janeiro,Pix,0,Mary Noble,Loja Física,Nenhuma,Saúde e Beleza,1,4359.32
"Wade, Grant and Good",Reveal Position,263.16,73,19210.68,2025-01-14,Acessórios,Sul,Pix,20,Joseph Davis,Online,Nenhuma,Roupas,1,19210.68
Grant and Sons,Course Hair,394.55,83,32747.65,2025-02-09,Alimentos,Rio de Janeiro,Cartão de Crédito,10,Brittany Ramsey,Telemarketing,Nenhuma,Eletrônicos,2,32747.65
Thomas-Haynes,Visit Wife,253.5,83,21040.5,2025-01-14,Acessórios,Rio de Janeiro,Boleto,5,Francis Wagner,Online,Nenhuma,Roupas,1,21040.5
Morgan Group,Which Although,433.77,25,10844.25,2025-02-25,Alimentos,Rio de Janeiro,Boleto,10,Laura Mueller,Online,Black Friday,Roupas,2,10844.25
Smith-Cain,Sell Want,135.89,95,12909.55,2025-01-12,Acessórios,Nordeste,Dinheiro,20,Richard Phillips,Telemarketing,Promoção de Natal,Roupas,1,12909.55
Trujillo-Choi,Account Hit,442.4,24,10617.6,2025-02-23,Alimentos,Sul,Dinheiro,0,Anthony Gonzalez,Loja Física,Nenhuma,Saúde e Beleza,2,10617.599999999999
Miller-Martinez,Region Avoid,192.79,53,10217.87,2025-02-09,Alimentos,São Paulo,Dinheiro,5,Andrew Crane,Telemarketing,Black Friday,Eletrônicos,2,10217.869999999999
Goodwin LLC,Beyond Everything,488.0,85,41480.0,2025-01-27,Eletrônicos,Rio de Janeiro,Cartão de Crédito,0,Margaret Wagner MD,Loja Física,Promoção de Natal,Saúde e Beleza,1,41480.0
"Washington, Weaver and Jones",Population Out,371.0,66,24486.0,2025-01-12,Acessórios,Nordeste,Cartão de Crédito,20,Eddie Wells,Loja Física,Nenhuma,Saúde e Beleza,1,24486.0
Cox-Myers,Worker Environmental,20.21,94,1899.74,2025-01-09,Acessórios,Nordeste,Boleto,5,Linda Schultz,Loja Física,Liquidação de Verão,Roupas,1,1899.74
Harrison-Ruiz,Factor War,57.76,18,1039.68,2025-02-13,Eletrônicos,Sul,Boleto,20,Kim Lee,Online,Nenhuma,Roupas,2,1039.68
"Bird, Howe and Klein",Present War,403.78,76,30687.28,2025-02-08,Acessórios,São Paulo,Pix,20,Nicholas Torres,Loja Física,Nenhuma,Casa e Decoração,2,30687.28
Bond Inc,Floor Set,72.73,65,4727.45,2025-01-27,Eletrônicos,São Paulo,Cartão de Crédito,5,Brian Medina,Online,Liquidação de Verão,Roupas,1,4727.45
Washington-Smith,Adult West,53.08,78,4140.24,2025-01-06,Moda,Nordeste,Pix,10,Sydney Kelly,Telemarketing,Nenhuma,Saúde e Beleza,1,4140.24
Barnes-Lane,Must Born,27.59,42,1158.78,2025-01-24,Moda,Sul,Boleto,0,Stephanie Andrews,Telemarketing,Nenhuma,Eletrônicos,1,1158.78
Brown Inc,Mouth Network,406.37,90,36573.3,2025-02-18,Eletrônicos,Sul,Cartão de Crédito,20,Krista Oconnell,Loja Física,Black Friday,Saúde e Beleza,2,36573.3
Johnson-Davis,Measure Food,205.94,12,2471.28,2025-01-14,Moda,Nordeste,Pix,5,Anthony Kim,Loja Física,Promoção de Natal,Roupas,1,2471.2799999999997
Tapia Inc,Financial Federal,344.63,63,21711.69,2025-01-20,Alimentos,Sul,Pix,5,Kayla Lynch,Loja Física,Liquidação de Verão,Eletrônicos,1,21711.69
"Reed, Perez and Turner",Personal Collection,289.61,82,23748.02,2025-02-10,Alimentos,Nordeste,Pix,5,Nicole Luna,Loja Física,Nenhuma,Saúde e Beleza,2,23748.02
Hughes PLC,Especially Young,408.86,5,2044.3,2025-01-20,Eletrônicos,Nordeste,Dinheiro,10,Albert Mendoza,Loja Física,Liquidação de Verão,Eletrônicos,1,2044.3000000000002
Saunders-Curtis,Particularly Stand,21.79,96,2091.84,2025-02-06,Eletrônicos,Rio de Janeiro,Dinheiro,20,Tracy Morris,Telemarketing,Nenhuma,Saúde e Beleza,2,2091.84
Clark-Johnson,But Color,155.23,12,1862.76,2025-02-13,Acessórios,Sul,Boleto,20,Jordan Dickerson,Online,Black Friday,Eletrônicos,2,1862.7599999999998
"Jackson, Adams and Sandoval",Case Success,240.21,34,8167.14,2025-01-02,Acessórios,São Paulo,Boleto,5,Mary Allen,Telemarketing,Liquidação de Verão,Eletrônicos,1,8167.14
"White, Singleton and Johnson",Month Everybody,286.29,24,6870.96,2025-02-14,Moda,Rio de Janeiro,Pix,10,Matthew Reid,Telemarketing,Liquidação de Verão,Saúde e Beleza,2,6870.960000000001
Mills LLC,General Skin,62.55,61,3815.55,2025-01-03,Acessórios,Sul,Boleto,5,Adam Dickerson,Telemarketing,Nenhuma,Roupas,1,3815.5499999999997
Miller Group,Then Yeah,254.75,84,21399.0,2025-01-24,Acessórios,Rio de Janeiro,Pix,20,Jeremiah Pace,Loja Física,Black Friday,Casa e Decoração,1,21399.0
"Perry, Taylor and Carter",Line Company,67.01,32,2144.32,2025-02-09,Eletrônicos,São Paulo,Dinheiro,20,Dennis Ortega,Online,Promoção de Natal,Saúde e Beleza,2,2144.32
"Young, King and Jenkins",Accept Where,435.4,62,26994.8,2025-01-31,Moda,São Paulo,Cartão de Crédito,10,Stephanie Smith,Loja Física,Nenhuma,Roupas,1,26994.8
Smith-Garner,Eight Data,46.05,77,3545.85,2025-01-07,Moda,São Paulo,Pix,10,Brandi Moore,Telemarketing,Nenhuma,Casa e Decoração,1,3545.85
Wade-Bradley,Serve Leader,488.76,55,26881.8,2025-02-25,Acessórios,São Paulo,Boleto,20,Michael Thompson,Online,Liquidação de Verão,Saúde e Beleza,2,26881.8
"Ray, Singh and Singleton",Above Poor,273.54,10,2735.4,2025-01-16,Alimentos,São Paulo,Pix,20,Russell Johnson,Online,Nenhuma,Casa e Decoração,1,2735.4
Lee PLC,Good Especially,214.97,38,8168.86,2025-02-09,Eletrônicos,São Paulo,Pix,10,Richard Carter,Online,Liquidação de Verão,Eletrônicos,2,8168.86
Benton Group,Generation Pressure,335.07,60,20104.2,2025-02-12,Eletrônicos,Sul,Boleto,5,Dr. Johnathan Martinez,Online,Black Friday,Roupas,2,20104.2
Harper-Fisher,Gas Stay,463.84,75,34788.0,2025-01-13,Acessórios,Rio de Janeiro,Cartão de Crédito,10,Dennis Merritt,Online,Promoção de Natal,Casa e Decoração,1,34788.0
Alexander-Hansen,Score Light,86.25,22,1897.5,2025-01-04,Alimentos,Rio de Janeiro,Boleto,20,Yvonne Schwartz,Loja Física,Nenhuma,Eletrônicos,1,1897.5
Jones-Evans,Push Father,194.4,99,19245.6,2025-01-09,Moda,Sul,Pix,20,Alyssa Holt,Loja Física,Promoção de Natal,Casa e Decoração,1,19245.600000000002
Price LLC,For Resource,130.88,2,261.76,2025-02-12,Moda,Rio de Janeiro,Boleto,5,Natalie Williams,Telemarketing,Promoção de Natal,Casa e Decoração,2,261.76
Hill PLC,Development Care,87.32,21,1833.72,2025-02-15,Acessórios,Nordeste,Dinheiro,10,Dennis Johnson,Telemarketing,Nenhuma,Casa e Decoração,2,1833.7199999999998
"Cervantes, Warren and Peters",Wrong Tough,373.18,95,35452.1,2025-01-14,Moda,Sul,Pix,10,Steven Giles,Online,Black Friday,Casa e Decoração,1,35452.1
Jones-Wallace,Position Thank,240.74,72,17333.28,2025-01-09,Acessórios,Nordeste,Boleto,20,Tanner Coleman,Loja Física,Nenhuma,Saúde e Beleza,1,17333.28
"Martin, Hoffman and Ramirez",Everyone Suddenly,21.91,2,43.82,2025-01-23,Acessórios,Sul,Boleto,10,Clinton Martinez,Telemarketing,Black Friday,Casa e Decoração,1,43.82
Martin LLC,Whose Their,133.75,91,12171.25,2025-02-01,Alimentos,Rio de Janeiro,Cartão de Crédito,0,Stephanie Reed,Online,Liquidação de Verão,Casa e Decoração,2,12171.25
Rose Ltd,Leave Care,199.66,63,12578.58,2025-01-27,Eletrônicos,Rio de Janeiro,Boleto,20,Victor Kim,Telemarketing,Black Friday,Saúde e Beleza,1,12578.58
Mcdonald-Ruiz,After Region,211.8,69,14614.2,2025-02-20,Moda,Nordeste,Pix,10,Victor Ward,Online,Nenhuma,Eletrônicos,2,14614.2
Rhodes-Miller,Ball Reason,404.78,49,19834.22,2025-02-08,Acessórios,Rio de Janeiro,Boleto,0,James Lewis,Telemarketing,Nenhuma,Roupas,2,19834.219999999998
Brown PLC,Than Force,291.19,75,21839.25,2025-02-12,Acessórios,Sul,Pix,5,Jeremy Johnston,Online,Liquidação de Verão,Roupas,2,21839.25
Walter-Reed,Buy Reveal,355.29,13,4618.77,2025-02-15,Eletrônicos,Nordeste,Cartão de Crédito,5,Samantha Miller,Online,Promoção de Natal,Eletrônicos,2,4618.77
"Brown, Cooper and Escobar",Source Protect,493.92,10,4939.2,2025-01-01,Moda,São Paulo,Pix,10,Sarah Hernandez,Online,Liquidação de Verão,Roupas,1,4939.2
Lewis PLC,These Respond,173.81,6,1042.86,2025-01-05,Acessórios,Nordeste,Boleto,0,Michelle Myers,Loja Física,Promoção de Natal,Casa e Decoração,1,1042.8600000000001
Becker-Haynes,Ahead Wide,317.08,67,21244.36,2025-01-29,Moda,Sul,Dinheiro,0,Debbie Becker,Loja Física,Nenhuma,Roupas,1,21244.36
"Jenkins, Ryan and Peterson",Leader Production,100.22,80,8017.6,2025-02-09,Moda,Nordeste,Boleto,10,Stacey Bradley,Loja Física,Promoção de Natal,Saúde e Beleza,2,8017.6
Mann and Sons,Really Key,164.99,71,11714.29,2025-01-07,Moda,Nordeste,Boleto,10,Cory Hendricks,Telemarketing,Liquidação de Verão,Roupas,1,11714.29
Hardy LLC,My White,324.73,27,8767.71,2025-02-17,Eletrônicos,Nordeste,Dinheiro,20,Mrs. Shirley Clark,Online,Black Friday,Saúde e Beleza,2,8767.710000000001
"Leonard, Flores and Cortez",Population Option,316.49,95,30066.55,2025-01-12,Eletrônicos,São Paulo,Dinheiro,20,Richard Smith,Loja Física,Nenhuma,Saúde e Beleza,1,30066.55
"Mcpherson, Kent and Gibson",Remain Republican,124.8,71,8860.8,2025-02-17,Acessórios,Sul,Boleto,0,Shawn Pitts,Online,Liquidação de Verão,Saúde e Beleza,2,8860.8
"Olson, Hernandez and Anderson",Argue Several,420.31,93,39088.83,2025-02-16,Acessórios,Rio de Janeiro,Boleto,5,Traci Miller,Loja Física,Black Friday,Casa e Decoração,2,39088.83
Evans Ltd,Mind Prepare,411.03,28,11508.84,2025-01-02,Moda,Nordeste,Pix,20,John Taylor,Telemarketing,Liquidação de Verão,Casa e Decoração,1,11508.84
Johnson LLC,However Everything,73.02,10,730.2,2025-02-21,Acessórios,Nordeste,Cartão de Crédito,20,Toni Hunter,Telemarketing,Promoção de Natal,Casa e Decoração,2,730.1999999999999
Lee Inc,Piece Play,49.51,59,2921.09,2025-02-10,Eletrônicos,São Paulo,Dinheiro,20,Michelle Morris,Online,Promoção de Natal,Eletrônicos,2,2921.0899999999997
Welch and Sons,Already Lot,282.31,72,20326.32,2025-02-17,Acessórios,São Paulo,Boleto,10,Nancy James,Loja Física,Black Friday,Casa e Decoração,2,20326.32
Mitchell Group,Boy Follow,323.67,18,5826.06,2025-02-15,Alimentos,Sul,Dinheiro,0,Kerry Stephens,Telemarketing,Promoção de Natal,Roupas,2,5826.06
Wood Ltd,Or Quality,455.96,60,27357.6,2025-01-02,Acessórios,Sul,Pix,0,Heather Johnson,Online,Liquidação de Verão,Eletrônicos,1,27357.6
Henry-Vazquez,Perhaps Still,32.4,94,3045.6,2025-01-15,Moda,São Paulo,Boleto,10,Jerry Taylor,Loja Física,Black Friday,Casa e Decoração,1,3045.6
"Williams, House and Simmons",Fish Whose,334.2,37,12365.4,2025-02-14,Moda,Rio de Janeiro,Boleto,20,Tyler Stewart,Telemarketing,Black Friday,Eletrônicos,2,12365.4
"Yates, Peterson and Miller",Order Challenge,45.08,45,2028.6,2025-02-05,Alimentos,Sul,Pix,0,Vincent Hernandez,Telemarketing,Nenhuma,Eletrônicos,2,2028.6
"Lopez, Howard and Andrade",Choice Value,135.47,20,2709.4,2025-01-13,Alimentos,Nordeste,Cartão de Crédito,20,Emily Martin,Loja Física,Promoção de Natal,Casa e Decoração,1,2709.4
Harrison-Farmer,Where Rate,215.69,42,9058.98,2025-02-12,Acessórios,Nordeste,Pix,10,Daniel Garcia,Online,Promoção de Natal,Eletrônicos,2,9058.98
Wilson LLC,Recent Business,424.25,10,4242.5,2025-01-13,Eletrônicos,Sul,Dinheiro,0,Nicole Smith,Loja Física,Liquidação de Verão,Eletrônicos,1,4242.5
Clark Group,Consider Fight,286.25,84,24045.0,2025-02-16,Alimentos,Nordeste,Dinheiro,0,Andrea Estrada,Online,Nenhuma,Roupas,2,24045.0
Morris-Wilson,Drive He,146.21,99,14474.79,2025-01-18,Acessórios,Nordeste,Cartão de Crédito,20,Kaitlin Meyer,Loja Física,Nenhuma,Casa e Decoração,1,14474.79
Wilson LLC,Week When,311.73,9,2805.57,2025-01-17,Acessórios,Sul,Dinheiro,0,Paul Mack,Online,Liquidação de Verão,Eletrônicos,1,2805.57
"Hernandez, Cooper and Davis",Body Opportunity,307.11,99,30403.89,2025-01-31,Moda,Rio de Janeiro,Boleto,10,Sarah Webster,Online,Liquidação de Verão,Eletrônicos,1,30403.890000000003
"Arnold, Evans and Barber",Local Child,464.87,28,13016.36,2025-02-26,Moda,Sul,Pix,5,Brendan Sullivan,Online,Liquidação de Verão,Roupas,2,13016.36
"Mejia, Foster and Smith",Across Just,294.28,27,7945.56,2025-01-26,Acessórios,Sul,Dinheiro,5,Mrs. Jennifer Rodriguez,Loja Física,Liquidação de Verão,Roupas,1,7945.5599999999995
Martin-Pratt,Bring Visit,227.7,10,2277.0,2025-01-14,Eletrônicos,São Paulo,Boleto,5,Tiffany Friedman,Loja Física,Promoção de Natal,Casa e Decoração,1,2277.0
"Jenkins, Brown and Perry",Glass Form,484.81,35,16968.35,2025-01-27,Acessórios,Nordeste,Cartão de Crédito,20,Kayla Fields,Online,Nenhuma,Roupas,1,16968.35
Carey Ltd,Part She,413.43,68,28113.24,2025-02-24,Alimentos,São Paulo,Dinheiro,10,Elizabeth Bailey,Telemarketing,Liquidação de Verão,Saúde e Beleza,2,28113.24
"Case, Parker and Snyder",Better Material,456.79,73,33345.67,2025-01-13,Eletrônicos,Rio de Janeiro,Dinheiro,10,Terry Kane,Loja Física,Nenhuma,Saúde e Beleza,1,33345.67
Espinoza-Vaughn,Face Discover,121.03,57,6898.71,2025-02-08,Moda,Rio de Janeiro,Dinheiro,20,David Carter,Online,Black Friday,Eletrônicos,2,6898.71
Williams-Young,Charge Wall,484.22,28,13558.16,2025-02-06,Eletrônicos,Sul,Boleto,0,Julie Johnson,Telemarketing,Liquidação de Verão,Saúde e Beleza,2,13558.16
Perry-Smith,Event Decide,137.89,95,13099.55,2025-01-31,Eletrônicos,Nordeste,Dinheiro,0,Chad Matthews,Loja Física,Black Friday,Saúde e Beleza,1,13099.55
Carter-Flores,Sometimes Trial,162.44,11,1786.84,2025-01-15,Acessórios,Rio de Janeiro,Boleto,0,Matthew Moreno,Loja Física,Liquidação de Verão,Roupas,1,1786.84
"Campos, Campbell and Becker",Personal Group,436.55,81,35360.55,2025-02-02,Alimentos,Sul,Boleto,0,Joyce English,Loja Física,Black Friday,Saúde e Beleza,2,35360.55
"Harris, Barnes and Craig",Result Middle,78.08,57,4450.56,2025-01-05,Eletrônicos,Nordeste,Cartão de Crédito,20,Latoya Davis,Online,Nenhuma,Roupas,1,4450.5599999999995
Cline-Hardy,Military Story,68.55,24,1645.2,2025-01-18,Acessórios,Sul,Boleto,20,Lorraine Fox,Telemarketing,Nenhuma,Saúde e Beleza,1,1645.1999999999998
Kirk Ltd,Behavior Action,84.36,67,5652.12,2025-01-11,Acessórios,Nordeste,Boleto,0,Jessica Thompson,Online,Nenhuma,Roupas,1,5652.12
"Hurst, Carter and Lawrence",Everything Lawyer,241.3,19,4584.7,2025-01-12,Alimentos,Nordeste,Pix,5,Carla Reyes,Telemarketing,Nenhuma,Saúde e Beleza,1,4584.7
Miller-Jarvis,View Close,213.9,31,6630.9,2025-01-08,Moda,Nordeste,Boleto,0,Brian Young,Telemarketing,Promoção de Natal,Casa e Decoração,1,6630.900000000001
"Gregory, Cooper and Johnston",Government Business,465.48,53,24670.44,2025-01-23,Eletrônicos,Nordeste,Cartão de Crédito,10,Thomas Glenn,Online,Promoção de Natal,Saúde e Beleza,1,24670.440000000002
Baker Group,Then Tree,175.18,25,4379.5,2025-01-01,Acessórios,Sul,Pix,20,Katherine Young,Online,Promoção de Natal,Casa e Decoração,1,4379.5
Baker LLC,Three Age,299.5,42,12579.0,2025-02-08,Alimentos,Rio de Janeiro,Dinheiro,10,Ruben Ortiz,Loja Física,Liquidação de Verão,Saúde e Beleza,2,12579.0
"Gonzalez, Gonzales and Lawrence",Employee My,474.14,79,37457.06,2025-01-28,Moda,Nordeste,Boleto,20,Anthony Weaver,Loja Física,Black Friday,Eletrônicos,1,37457.06
"Gutierrez, Ferguson and Roy",Condition Ever,311.14,96,29869.44,2025-01-13,Acessórios,Nordeste,Boleto,5,Samuel Parker,Loja Física,Promoção de Natal,Casa e Decoração,1,29869.44
"Figueroa, Garrett and Kennedy",Black Former,80.38,42,3375.96,2025-01-30,Alimentos,São Paulo,Pix,20,Susan Phillips,Online,Promoção de Natal,Saúde e Beleza,1,3375.96
"Weeks, Santos and Mann",Outside Pick,226.48,90,20383.2,2025-01-31,Eletrônicos,Sul,Boleto,0,Kim Wu MD,Online,Liquidação de Verão,Roupas,1,20383.2
Davis-Harris,Everyone Fill,298.85,44,13149.4,2025-02-15,Alimentos,Sul,Cartão de Crédito,20,Ashley Williams,Loja Física,Nenhuma,Casa e Decoração,2,13149.400000000001
"Frank, Neal and Cook",Spring Prove,253.76,78,19793.28,2025-02-04,Moda,Sul,Pix,20,Zachary Mayo,Telemarketing,Black Friday,Saúde e Beleza,2,19793.28
Pitts-Salazar,System Prevent,205.89,38,7823.82,2025-01-07,Alimentos,São Paulo,Pix,20,Louis Green,Telemarketing,Promoção de Natal,Saúde e Beleza,1,7823.82
"Cortez, Benson and Morton",Partner Edge,399.06,47,18755.82,2025-01-25,Acessórios,Nordeste,Pix,20,Scott Powers,Online,Liquidação de Verão,Roupas,1,18755.82
Johnson-Johnson,Lot System,78.89,58,4575.62,2025-01-26,Eletrônicos,São Paulo,Dinheiro,0,Stacy Kirk,Online,Promoção de Natal,Casa e Decoração,1,4575.62
Sanders Ltd,Size Five,268.71,1,268.71,2025-01-23,Eletrônicos,Sul,Pix,5,Harry Kramer,Loja Física,Liquidação de Verão,Casa e Decoração,1,268.71
Faulkner-Washington,Real Cause,139.91,72,10073.52,2025-02-14,Acessórios,Sul,Dinheiro,20,Richard Morgan,Online,Black Friday,Roupas,2,10073.52
Valenzuela Group,Reason Forget,412.85,71,29312.35,2025-02-14,Acessórios,Sul,Pix,20,John Rivera,Telemarketing,Promoção de Natal,Saúde e Beleza,2,29312.350000000002
Mitchell-Case,Career Employee,297.49,34,10114.66,2025-02-21,Acessórios,Sul,Boleto,20,Mr. Patrick Carey,Loja Física,Nenhuma,Saúde e Beleza,2,10114.66
"Dominguez, White and Vincent",Situation Once,121.49,95,11541.55,2025-02-14,Acessórios,Sul,Dinheiro,20,Carrie Wood,Telemarketing,Promoção de Natal,Eletrônicos,2,11541.55
Fisher-Reynolds,Claim Public,342.73,40,13709.2,2025-02-03,Eletrônicos,São Paulo,Dinheiro,10,Daniel Kemp,Telemarketing,Liquidação de Verão,Roupas,2,13709.2
Herrera-Newman,Especially Manage,298.21,61,18190.81,2025-01-24,Eletrônicos,Rio de Janeiro,Boleto,10,Timothy Hutchinson,Telemarketing,Nenhuma,Roupas,1,18190.809999999998
"Miranda, Norman and Fritz",Sort Including,422.99,10,4229.9,2025-01-08,Acessórios,Sul,Cartão de Crédito,0,Randy Mercado,Telemarketing,Black Friday,Eletrônicos,1,4229.9
Stephens-Williams,Easy Something,39.96,96,3836.16,2025-02-02,Alimentos,Nordeste,Dinheiro,0,Larry Grant,Telemarketing,Nenhuma,Casa e Decoração,2,3836.16
Santos-Williams,Energy Spend,35.89,63,2261.07,2025-02-20,Alimentos,Sul,Dinheiro,5,Megan Bennett,Telemarketing,Black Friday,Casa e Decoração,2,2261.07
Lucas LLC,Through Imagine,109.95,45,4947.75,2025-01-21,Alimentos,Nordeste,Dinheiro,10,Gregory Holden,Telemarketing,Black Friday,Casa e Decoração,1,4947.75
"Blair, Allen and Santos",Not Sell,61.33,48,2943.84,2025-02-16,Moda,Nordeste,Pix,5,Wesley Flynn,Telemarketing,Black Friday,Eletrônicos,2,2943.84
Wilson-Hayes,Raise Show,52.76,99,5223.24,2025-02-18,Alimentos,Rio de Janeiro,Dinheiro,20,Melissa Shaw,Loja Física,Black Friday,Casa e Decoração,2,5223.24
Castro-Vargas,Suggest Tend,460.79,40,18431.6,2025-01-13,Acessórios,Sul,Dinheiro,20,Christopher Castro,Online,Nenhuma,Casa e Decoração,1,18431.600000000002
Acosta-Stephens,Son Who,67.86,81,5496.66,2025-01-23,Eletrônicos,São Paulo,Cartão de Crédito,10,Andrew Gardner,Loja Física,Liquidação de Verão,Casa e Decoração,1,5496.66
Nichols Inc,Build Give,340.34,33,11231.22,2025-01-19,Moda,Rio de Janeiro,Boleto,20,Andrew Smith,Telemarketing,Liquidação de Verão,Roupas,1,11231.22
"Foley, Walters and Burke",Claim Ok,25.01,94,2350.94,2025-01-12,Alimentos,São Paulo,Pix,5,Brian Reid,Online,Liquidação de Verão,Casa e Decoração,1,2350.94
Sweeney and Sons,Thought Level,161.34,73,11777.82,2025-02-06,Eletrônicos,São Paulo,Boleto,10,Kerry Clark,Telemarketing,Liquidação de Verão,Saúde e Beleza,2,11777.82
Vaughn-Weaver,Guess One,398.05,18,7164.9,2025-01-03,Acessórios,Rio de Janeiro,Boleto,5,Lynn Harris,Loja Física,Promoção de Natal,Casa e Decoração,1,7164.900000000001
"Campbell, Roman and Barajas",Finish Region,494.7,70,34629.0,2025-01-03,Moda,Sul,Boleto,0,Eric Peters,Loja Física,Promoção de Natal,Saúde e Beleza,1,34629.0
Smith-Graham,However Time,301.81,16,4828.96,2025-02-26,Eletrônicos,Sul,Boleto,10,Jennifer Cruz,Loja Física,Liquidação de Verão,Roupas,2,4828.96
"Wong, Barrera and Allen",Learn Above,487.22,39,19001.58,2025-02-06,Alimentos,Nordeste,Cartão de Crédito,10,Robert Adams,Telemarketing,Black Friday,Eletrônicos,2,19001.58
"Moreno, Herrera and Alexander",Exist For,20.42,48,980.16,2025-02-14,Acessórios,Nordeste,Dinheiro,5,Matthew Rhodes,Loja Física,Nenhuma,Casa e Decoração,2,980.1600000000001
